class	feature 1	feature 2	feature 3	feature 4	feature 5	feature 6	feature 7	feature 8	feature 9	feature 10	
1	0.783170	-1.008609	-1.111051	1.662477	1.120946	0.478215	1.740058	-0.856460	-0.968470	-0.333715	
1	-1.026003	-0.233585	-0.014968	-1.364731	1.990652	0.442770	0.689160	0.209875	-0.892699	0.063804	
1	0.555915	0.647914	0.504814	-1.439928	1.169812	1.154232	0.747607	-0.238873	0.909458	-0.080437	
1	-0.857086	0.232663	-0.826047	-0.302138	2.227454	-0.588108	-0.182784	0.827286	0.332341	-1.472827	
1	-0.862293	-0.278097	1.461065	-1.595055	2.587083	-0.166628	-0.711036	-3.028467	0.270755	1.624437	
1	1.041838	0.063167	0.878441	1.707399	1.697915	0.396337	-1.950457	1.829329	-1.482331	-2.049825	
1	-0.408072	-0.170597	-0.378600	1.099920	2.116563	0.225513	0.377632	-1.124094	1.194399	0.043365	
1	-1.172426	-1.282813	0.092152	2.397415	2.606328	0.917014	-1.321367	0.828350	-0.131159	-0.749015	
1	0.047507	0.506898	0.620839	1.434388	2.463210	-1.759646	-2.635203	-1.857286	0.416051	0.741135	
1	-0.996799	0.776002	-0.654476	1.919630	2.032875	-0.907569	1.203041	0.660307	1.342473	0.074343	
1	-1.843814	0.253020	-1.886018	-0.395762	0.829200	-1.261289	-0.080055	-1.207393	-1.163861	-2.171864	
1	-0.323302	0.351479	0.429513	2.226677	1.682723	-1.546728	0.402839	2.340694	0.428560	1.376923	
1	-1.740682	0.395197	0.070602	0.960867	0.592084	0.588062	-1.149367	0.036360	-1.329313	-0.754036	
1	-0.158837	0.342416	-1.210497	0.069437	1.734780	-0.442689	-0.214398	0.099737	-1.922920	-1.443598	
1	-2.395234	-0.454490	1.364490	2.609682	2.623454	-1.056303	0.127509	-0.794745	1.290020	-0.772728	
1	-0.768681	0.400396	0.524157	2.054764	2.334955	-0.199872	2.238676	-0.382125	0.076565	0.604108	
1	-0.352744	0.495266	-0.050833	0.734723	3.715891	-1.738597	0.662324	0.033224	0.431129	-0.352823	
1	-0.338887	1.376886	0.569643	1.391180	1.863597	-1.223296	-0.712349	0.023796	-1.005164	-2.785748	
1	0.081963	-1.690756	0.098804	0.468137	2.500261	0.312397	-0.296565	-0.173407	0.353999	1.446397	
1	-1.205841	-1.531917	-0.610428	-0.197736	2.076876	-1.730154	-1.119929	-1.333540	-0.788507	-0.337078	
1	0.140855	0.655610	-1.713537	1.296189	1.337121	1.503782	1.087166	-1.170324	0.483818	0.991014	
1	0.173553	1.132802	-0.428611	0.616209	2.022099	-1.314874	-0.394038	0.432066	-0.863696	1.084178	
1	-0.709177	0.316194	0.347235	0.448551	1.596857	-0.055081	1.335623	0.428045	0.374908	0.461437	
1	3.580511	-1.197469	-0.984938	1.512193	1.347985	-0.724858	-0.292997	-0.843290	2.722350	0.096456	
1	1.186118	-0.572339	-1.017565	0.325393	1.573721	-0.169917	-0.107806	1.729596	0.832164	1.429331	
1	0.925128	1.013687	1.353126	0.537561	1.858208	0.411956	-1.088332	0.024254	-0.469048	-1.435128	
1	0.013909	1.232217	0.681853	3.357082	3.869278	1.223364	-0.810126	1.463596	-0.235068	-0.657712	
1	-1.863567	0.707704	0.722091	-2.212986	1.626030	1.215274	1.106979	-0.697012	-1.517192	-1.286464	
1	-0.858530	-1.471978	-2.148557	-0.083327	1.510851	-0.426247	1.023590	1.602351	0.109342	-0.471502	
1	-0.601002	0.452580	-0.550950	-0.796060	1.488279	-0.179535	-0.075151	0.257641	1.057745	-1.484968	
1	0.252596	-1.943139	1.213325	3.880555	1.999063	0.244367	1.169860	0.654208	1.156835	1.322268	
1	-0.807844	0.226204	0.339186	0.637139	2.811533	1.659481	0.264010	-1.275749	-0.635547	0.170779	
1	0.220504	-0.120251	-2.044572	3.315993	1.179110	0.899479	-1.363976	0.084527	0.367585	0.536532	
1	0.806941	0.758559	0.887617	1.252475	0.264306	-1.638904	-0.927633	1.880433	0.306387	0.601337	
1	-0.321162	-0.127877	0.089337	1.087294	1.939462	-0.733516	-0.777906	0.023982	0.056086	1.685771	
1	-1.272794	-1.035778	1.052579	-0.665180	2.704565	-1.125305	-0.363990	0.081810	-0.705474	-0.658514	
1	0.150485	-0.300732	-1.746475	-0.517939	0.292682	-0.940351	0.202601	0.941253	-0.724067	-1.388992	
1	0.375333	-0.122645	0.905795	0.899802	2.545012	0.716389	0.183299	0.704790	0.004354	-1.116605	
1	-1.420333	-1.496821	-0.426930	0.118613	2.884350	-0.469461	-0.652053	-0.087410	-0.418738	0.548996	
1	1.202171	0.307898	0.443051	3.923870	2.123210	1.600014	0.313494	0.299299	-0.427791	0.172928	
1	-0.040897	-0.882125	-1.996242	-0.615853	0.614308	0.525856	-1.032161	0.739699	0.532017	0.279655	
1	-0.696913	1.114623	0.530120	2.967649	2.014158	0.321188	0.314993	0.006165	0.714409	0.223484	
1	-0.459300	0.486305	-2.386816	1.600820	2.399015	2.095263	-1.874110	-1.020533	-0.055571	-0.297743	
1	0.919763	-0.499518	0.318514	0.518062	2.588253	-0.390128	-0.156524	1.139319	0.310583	-1.720469	
1	0.000504	-1.114843	0.005663	-0.462859	2.501330	0.368814	0.910348	0.227639	1.248180	0.198755	
1	-0.127383	-1.682079	0.063688	-0.057640	2.518528	0.612250	0.144542	0.069239	-0.584236	1.604307	
1	-0.666681	0.894366	0.861029	0.040543	2.795785	-0.643189	1.391935	1.137207	0.370624	-1.184569	
1	0.302949	1.316869	-0.402105	-0.909284	1.152620	0.186749	-0.256890	-1.785938	0.500828	1.010721	
1	-1.033495	0.266766	-0.410034	3.156273	2.731474	-1.417838	0.193678	1.209321	-0.244463	1.377395	
1	0.203727	-0.589896	0.195020	-0.151863	0.757570	1.033563	-0.449444	0.170758	-0.235261	-0.840848	
1	3.408806	0.476291	1.394130	-0.721421	2.037770	1.898249	-0.269920	0.505199	-0.019596	-0.026610	
