labels,samples
2,"[-1.4256078204127267, -0.44049455894188516, -1.532052439437011, -1.5685216374762003, 0.5771631966951747, -1.2745377443132437, -0.5164594146144609, 0.05408297483346872, 0.6669296478135116, -2.4111730650249594]"
2,"[-0.8373222842041161, 1.4332443762672136, 0.09053896311611082, -0.45151014644602216, -1.5766419074358102, 2.2567395414472897, -0.9457958067934289, 0.5764294914692623, -0.21368076747679385, -0.36488772341403547]"
2,"[-0.11258903969613818, -1.3112922562796072, 0.37778883884550796, -0.9041029124095745, 0.6040537157286306, -0.015172673079640129, 0.08539442098823535, -0.10652428831749963, 0.5367818454162872, -1.0749566023260642]"
2,"[-0.8238117842664971, -0.7344715627583063, -0.36537335534801063, -1.177134536345395, -0.7165920756830166, -1.8630272963101964, 1.3721976105385292, -0.5149777874676991, 0.31552628110051256, -0.4445477687484315]"
2,"[1.123172100547472, -0.8943550683940512, -0.2259131631932927, -1.5489001986715007, 1.1997535052891761, 0.00613740952644508, 1.3976178062379587, 0.8191380623234047, 0.7910786147225493, -0.016017802453172015]"
1,"[0.7148909363431565, 1.6439711014639988, 0.580654654394672, -0.0682028029757667, -0.2527329523549526, -0.6710326837519157, -0.01272066028573918, -1.3409826077942533, 0.5842493333950913, 0.9886078098006795]"
2,"[-1.788027337260659, 0.5676617576448978, 0.1535333006157778, -0.37077791655057574, -2.317125507950338, 1.2037759915437611, 0.9151275376241513, 0.6936868182806345, 1.1356978401239382, 0.3310073676414955]"
2,"[-0.6581652429066456, -1.7146839119961208, 2.2064801731157684, -1.1912944423389287, 1.7216831949347882, -1.6967952958699926, 1.6930383884562765, -1.491939775249624, -0.8922750991918115, -2.396313371360178]"
2,"[0.22637477634908718, 0.7664283085592847, -0.5628477078829739, -1.0378163186156975, 1.092949261346292, 0.6630092469213873, 0.7165175607559584, -0.12971471570317153, 0.06098685536641287, 0.10062359799919231]"
2,"[0.4025595483484308, -0.30217018437515636, 0.6421723612859997, -1.1396792542931737, -0.136930834581599, 0.9214328273706528, -1.9088718895713557, 0.9805033084188555, -0.14125652663495067, 0.1543640782510362]"
2,"[1.2044995731429025, 1.8148436004728026, -0.1820579005610945, -1.1596525972327414, -0.9337118721367961, -0.581844205455729, 0.8995562356487041, -0.4761108946393204, -1.2542140551134533, -0.7438022373953826]"
2,"[0.5124246715800529, 1.0890600322337443, 0.003086443586633761, -1.6241781565013425, -0.03764316757328982, -2.104037338862366, -0.373332879043576, -0.9345578277013451, 3.7007104089155485, 1.4515318753188837]"
2,"[0.15525494318100252, 1.1425824089625622, 0.7170425789974164, -0.3523641817575627, -1.333764553986528, -0.40223282026170226, -0.7278227038660555, 1.117636407253062, 1.1967827563316005, 0.17815014051173722]"
2,"[0.9131846314071098, 0.7550812261358549, -0.24265402239189846, -0.8382368170259183, 0.057709131039949124, -0.24443540738164876, 1.1035147648025128, -0.4107034519460463, 0.683555196654128, 0.9829056781581061]"
1,"[-2.2545037440437365, -1.1163105981158103, -0.34698640051960566, 0.7647155602808912, -1.6318861849059805, -0.3939601249771786, -0.20800613302751034, 2.0282840075084083, -0.9546132283432425, 0.9590112140004318]"
2,"[-1.1920975150234983, 0.2871087527440594, -0.12430555411849777, -0.6584626931283902, -0.35074552738327225, 0.5354098025793242, 0.4187483188812177, 0.1942844859081742, -0.16620406469693255, 0.6681900292144938]"
1,"[1.361055364770598, 1.4282658533487191, 0.13905070563572833, 1.4272174485193494, 0.805744840974561, -0.7147233616366675, 1.7914348666937931, 0.5248380106276924, -0.9079351416549984, -0.19267548147597297]"
2,"[-0.05304091615690103, 0.30175133954923883, -0.1315839815851345, -0.41295461941642053, -1.4153319957215338, -2.127525884402353, 0.11063572861798444, 0.39700033632522114, 0.1585419064245963, -0.6277556084131387]"
2,"[0.7731868820911566, -2.318247346870145, 0.14770008608496246, -0.9037447156285533, 1.2073772621800405, 1.8003581336686028, 0.06812468733997892, -1.1090925207840887, -1.2040118189542521, 0.14053084502662372]"
1,"[-0.0727360147709785, 1.2251913826465333, 0.8217481609926086, 0.450350932113442, 0.5299014959695342, -0.8536147922036921, -0.09460918665487501, 1.9597362049956804, 3.4630965249898136, -2.1431076448240627]"
1,"[0.7794732011405833, -1.3805217208997078, -0.1148526428933524, 1.0873317837538397, 0.17112532978633288, -0.2604445297876827, -0.6444809631780546, -2.4616431643265644, 0.6666767527178327, -0.6441818533855115]"
1,"[0.5426590180373521, -1.591543598283466, 0.5357435675557374, 0.7164359587459707, 0.8772396968173889, -1.2327705490282812, 0.4170438572734754, 0.4582804200173224, -0.5822758813620303, 0.9664285898181263]"
1,"[-0.5123562086830268, 0.15320949074525128, 0.8839027897904346, 0.798692945209278, -1.7542443375056391, 0.47739570560850125, 0.9266668231076988, -0.25904099554768123, 0.9234717569773591, -0.09672637233086091]"
